stock,94年1-6月,稅後純益,94年1-6月,增減(%),期末股本,稅後純益,94年1-6月,每股淨值,淨值占總資產(%)(B),流動比率,速動比率,公司,,營業收入,94年1-6月,增減(%),營業利益,94年1-6月,營業外
4526,25252,277194,224435,23.51,1453499,2.15,2.26,20.57,50.4357,1.46,0.9,4526,東台,2606553,2028479,28.5,302704,236681,46061
4532,505619,268116,575828,-53.44,3420620,0.88,1.88,15.03,73.5626,1.52,1.14,4532,瑞智,1246793,1752320,-28.85,59404,163550,226957
6605,-33115,661712,710813,-6.91,1596890,4.48,4.79,38.73,60.1596,1.44,1.08,6605,帝寶,3366306,3452482,-2.5,879671,968176,15158
06,-1431386,7217903,1141001,532.59,74748937,0.97,0.15,14.6990390947212,63.0260947043501,1.42970612272771,0.731561498895179,06,電器電纜類,66771702,53618193,24.53,3507449,2901346,3825210
1601,-302047,-317913,-351930,,1378080,-2.31,-2.58,6.42,15.691,0.6,0.23,1601,台光,1192161,1221409,-2.39,-92661,-45383,-220742
1603,-65812,18627,32495,-42.68,3423000,0.07,0.11,11.71,44.8649,0.75,0.29,1603,華電,1304610,1359013,-4,63185,96107,-40129
1605,-936838,5077916,704562,620.72,32443143,1.59,0.21,17.93,79.7625,1.86,0.86,1605,華新,26366171,19542193,34.92,2097222,1641400,3190798
1606,-57488,224740,130163,72.66,8083895,0.29,0.19,10.65,36.7056,1.37,0.89,1606,歌林,6870548,6228621,10.31,288928,200463,-61853
1608,-308440,673415,-231786,,6327735,1.13,-0.39,13.57,79.3307,3.46,1.27,1608,華榮,5720966,4039663,41.62,307890,120396,176368
1609,123614,428486,181066,136.65,5056144,0.97,0.4,13.64,56.6072,1.65,0.71,1609,大亞,5128824,3376366,51.9,137395,71781,294399
1611,-6895,292173,76350,282.68,3817174,0.81,0.21,14.53,80.0908,2.77,1.68,1611,中電,1576642,1505977,4.69,76603,88952,224697
1612,60481,300068,233646,28.43,3298631,0.91,0.71,14.15,76.1778,2.44,1.43,1612,宏泰,3292623,2717324,21.17,206883,262181,6504
1613,33380,-35662,-9279,,2000000,-0.17,-0.04,7.57,20.71,0.31,0.17,1613,台一,2383353,1819405,31,-119738,-42296,60654
1614,156892,263560,372764,-29.3,3166040,0.87,1.22,16.81,67.6526,2.44,0.97,1614,三洋電,4156005,5085228,-18.27,249324,298042,126405
1615,-82001,53746,-39510,,968500,0.55,-0.41,11.71,53.4966,1.5,0.69,1615,大山,1580038,1098469,43.84,118232,63684,-41641
1616,-17170,153152,59220,158.62,1359138,1.2,0.48,16.03,47.7006,1.77,0.77,1616,億泰,1814644,1765092,2.81,48051,102888,137764
1617,-25197,42422,-26367,,1134818,0.37,-0.23,13.82,39.4273,1.42,1.18,1617,榮星,3468220,2330225,48.84,53834,8159,-20886
1618,-3865,43173,9607,349.39,2292639,0.2,0.05,14.4,61.5913,1.08,0.45,1618,合機,1916897,1529208,25.35,72301,34972,-7128
07,3022579,6883601,7113818,-3.24,97402136,0.71,0.74,18.1240386304474,68.1689200592901,2.02035249910787,1.09103503871137,07,化學生技醫療類,77459854,69532911,11.4,5420015,6199809,3416894
1701,-135317,119555,-49364,,2980811,0.42,-0.19,14.01,72.6083,1.24,0.85,1701,中化,1202296,1206110,-0.32,148558,172121,2665
1702,-35643,-54773,-66227,,2941330,-0.23,-0.27,10.73,49.2399,1.78,1.02,1702,南僑,719731,762437,-5.6,-46657,-30584,-8116
1704,603353,749243,739105,1.37,5178259,1.52,1.5,18.04,52.3351,1.38,0.53,1704,榮化,6463285,5723463,12.93,364200,366049,631623
1707,-6353,27223,27413,-0.69,1334350,0.27,0.31,11.84,69.7568,4.48,1.44,1707,葡萄王,478477,486571,-1.66,31074,48225,4565
1708,25556,125232,121749,2.86,2104529,0.61,0.6,15.2,78.4016,1.25,0.76,1708,東碱,1121426,762871,47,76475,100906,70418
1709,6291,95402,94084,1.4,2409479,0.41,0.41,13.76,78.7476,2.99,1.17,1709,和益,2749847,2199048,25.05,159845,114969,-32063
1710,-9467,801760,1057395,-24.18,7707212,1.06,1.41,15.62,80.3031,2.14,0.81,1710,東聯,4844510,5310280,-8.77,838549,1367354,164986
1711,5576,140313,22557,522.04,3759510,0.37,0.06,13.3782,73.1922,1.76,0.83,1711,永光,2583993,2219868,16.4,129315,17021,28798
1712,-5872,84059,4428,+++++,3644184,0.23,0.01,12.23,60.3585,1.42,0.68,1712,興農,4552487,4489985,1.39,136141,10300,-34567
1713,-2035,35972,30151,19.31,1509517,0.24,0.2,14.52,86.0514,5.89,5.04,1713,國化,374498,382854,-2.18,102324,32883,-43450
1714,-285568,-295753,-276650,,6058864,-0.49,-0.48,9.68,50.2693,1.24,0.82,1714,和桐,5327418,0,,42946,-29667,-307079
1715,21531,173488,126311,37.35,2994094,0.67,0.48,15.69,64.3189,1.02,0.69,1715,亞化,2050325,2476751,-17.22,144275,110029,61572
1716,7469,264872,194292,36.33,2537362,1.04,0.8,18.89,78.4533,2.27,1.32,1716,永信,1466748,1549967,-5.37,280853,316713,80923
1717,312806,1096712,463392,136.67,7114512,1.54,0.65,18.82,56.2368,1.63,0.99,1717,長興,8786627,7507256,17.04,642367,199079,730021
1718,-283310,-178999,120729,,14641000,-0.13,0.08,12.56,67.3508,2,1.05,1718,中纖,6873998,6734624,2.07,-91656,734092,-114128
1720,-25903,161491,143175,12.79,1515707,1.11,1.1,15.5,73.7653,2.34,1.15,1720,生達,829880,827208,0.32,198580,225533,-5037
1721,32771,-23788,7505,,959345,-0.25,0.08,6.49,50.0823,0.99,0.69,1721,三晃,478095,448940,6.49,-10488,-25266,-13300
1722,2369072,1179247,2282304,-48.33,9800000,(<<<<<),(<<<<<),50.93,75.8475,4.16,2.53,1722,台肥,5693465,4799475,18.63,144449,323236,1423115
1723,64478,584677,507385,15.23,2034734,2.96,2.57,17.38,69.6364,1.73,0.58,1723,中碳,2164501,2040098,6.1,656993,602422,72291
1724,-21265,17651,47427,-62.78,1277500,0.14,0.37,11.54,68.1596,1.7,1.19,1724,台硝,695083,834652,-16.72,55991,84644,39755
1725,14487,81148,102501,-20.83,1002000,0.94,1.19,17.38,38.7149,1.33,0.75,1725,元禎,5084733,5397008,-5.79,81256,82373,18301
1726,63655,392327,323847,21.15,1599989,2.45,2.02,29.29,77.9155,3.21,1.79,1726,永記,3196302,2749625,16.25,460613,404040,62211
1727,-6614,19165,27885,-31.27,660000,0.31,0.45,12.8,69.3919,1.68,1.15,1727,中華化,521837,545587,-4.35,28639,39869,-6674
1729,-21648,267921,259798,3.13,1734467,1.58,1.5,13.31,70.0733,1.7,1.41,1729,必翔,1027749,978000,5.09,319996,319665,-17124
1730,3356,36399,27596,31.9,534812,0.68,0.52,11.86,73.3503,2.09,1.12,1730,花仙子,403522,450492,-10.43,27556,30688,18149
1731,37094,32615,35219,-7.39,1033133,0.32,0.34,14.06,45.4149,1.6,1.36,1731,美吾華,2298579,2241970,2.52,-12131,10908,44151
