stock,稅後純益,102年1-9月,增減(%),期末股本,稅後純益,102年1-9月,每股淨值,淨值佔總資產,流動比率,速動比率,稅前純益,102年1-9月,增減(%),公司,,營業收入,102年1-9月,增減(%),營業利益,102年1-9月,營業外,102年1-9月
1459,142674,30918,361.46,3586289,0.45,0.1,11.85,47.9417503608873,1.45964462806412,1.04854529952959,165969,36466,355.13,1459,聯發,2965091,2915792,1.69,18103,-39297,147866,75763
1460,218980,144328,51.72,4711891,0.5,0.33,10.56,53.3572005279748,1.81527009527907,0.556246578213928,252624,144372,74.98,1460,宏遠,5836665,5430786,7.47,187291,121893,65333,22479
1463,40419,2578,1467.84,1884108,0.25,0.02,11.72,52.80841915736,1.9678332245203,0.717655222820352,31737,-4293,,1463,強盛,792526,675755,17.28,-4093,-28011,35830,23718
1464,39988,-19837,,2168960,0.18,-0.09,11.17,38.7616909276674,1.04344883225064,0.486451625979932,40043,-16639,,1464,得力,3797129,3177409,19.5,9568,-38946,30475,22307
1465,79934,74103,7.87,1036073,0.77,0.86,17.2,60.8608962387694,4.02341076755565,1.66699532056371,133071,107659,23.6,1465,偉全,1984215,1970248,0.71,79614,73405,53457,34254
1466,30122,73428,-58.98,1061519,0.3,0.77,16.71,53.108999536111,1.98643331014508,0.84900695543163,35700,94959,-62.4,1466,聚隆,3722102,3876675,-3.99,11737,95699,23963,-740
1467,96162,161216,-40.35,2102622,0.5,0.96,11.57,34.424660848084,1.89885926421272,1.08119453441722,80616,181438,-55.57,1467,南緯,5330810,5318766,0.23,98718,152574,-18102,28864
1468,-37252,-60585,,1604053,-0.23,-0.38,7.51,49.8629124320046,1.67993930101323,0.230410422291933,-41005,-65777,,1468,昶和,497812,628598,-20.81,-37755,-66328,-3250,551
1469,7363,10037,-26.64,1246000,0.06,0.08,14.07,83.4683978537571,2.52485246587264,1.63439521002279,7870,12441,-36.74,1469,理隆,393249,409070,-3.87,4222,-1910,3648,14351
1470,45693,17896,155.33,857670,0.53,0.21,10.75,86.9071315742846,5.22058460068214,2.0675388443097,55014,21494,155.95,1470,大統染,552660,484248,14.13,49970,17597,5044,3897
1472,-45670,-74863,,716500,-0.66,-1.16,5.09,32.3637830949763,0.634156067164734,0.354968064598108,-47539,-90378,,1472,三洋紡,779118,651082,19.67,-43313,-80864,-4226,-9514
1473,65878,196875,-66.54,1468590,0.45,1.36,27.26,52.1230649658234,2.68730340346761,1.59601663883255,-125076,47115,,1473,台南,6904118,7268814,-5.02,-229422,22390,104346,24725
1474,23839,28034,-14.96,1298970,0.18,0.21,13.4,51.5048385349483,1.31566573017046,0.69554458782483,29519,28664,2.98,1474,弘裕,2557336,2672492,-4.31,16575,9404,12944,19260
1475,-38716,-51582,,525168,-0.74,-0.98,5.83,49.60951231563,0.471685460673761,0.204531149816766,-63082,-91000,,1475,本盟,154148,174340,-11.58,-70325,-77870,7243,-13130
1476,2082226,1949057,6.83,2609874,7.98,7.47,32.49,60.9869841432845,1.39988227634978,0.675040473561505,2606457,2376249,9.69,1476,儒鴻,15061492,12763575,18,2469830,2375667,136627,582
1477,1299072,1046001,24.19,1905816,7.52,6.27,40.16,63.7174178931073,1.72549560329561,0.623064537581669,1609200,1275148,26.2,1477,聚陽,15519860,13587635,14.22,1665702,1267683,-56502,7465
