stock,公司,營業收入,88年1-3月,,營業利益,88年1-3月,營業外,88年1-3月,稅後純益,88年1-3月,,期末股本,稅後純益,88年1-3月,每股淨值,淨值佔總資產,流動比率,速動比率,
1513, 1513 中興電工  ,2336785,1959102,19.28,299905,100371,-24533,-70097,221390,20801,964.32,5735500,0.39,0.05,13.8,41.72,1.7,0.39,
1514, 1514 亞力電機  ,633638,520868,21.65,54618,43688,17953,-793,60434,33839,78.59,1671254,0.36,0.24,15.02,67.61,2.06,1.22,
1515, 1515 力山工業  ,1219618,1215154,0.37,94729,104858,13790,1308,92437,82523,12.01,2048036,0.45,0.53,14.3,56.83,1.07,0.73,
1516, 1516 川    飛  ,308174,234755,31.27,10415,-11146,14111,21817,27081,13988,93.6,1542362,0.18,0.11,12.37,58.81,0.97,0.49,
1517, 1517 利奇機械  ,680871,705621,-3.51,-8976,144268,-220370,63145,-216512,153592,        ,2102430,-1.03,1.01,12.76,82.63,3.87,3.26,
1518, 1518 夆典工程  ,282703,311502,-9.25,-16712,4494,8311,-14902,-5634,-10416,        ,1897544,-0.03,-0.06,13.14,86.61,3.66,2.15,
1519, 1519 華城      ,728075,620476,17.34,98812,44832,-6758,17711,72835,52767,38.03,1628236,0.45,0.4,14.52,53.07,1.14,0.84,
1520, 1520 復盛      ,897810,758130,18.42,179373,110329,39553,50162,181839,136818,32.91,2406512,0.76,0.69,16.28,54.31,1.18,0.84,
1521, 1521 大億      ,554294,518196,6.97,67044,39269,-17659,-4727,39330,26549,48.14,762300,0.52,0.38,14.26,52.19,1.52,0.95,
1522, 1522 堤維西    ,954706,837511,13.99,12695,36693,-47151,32440,-34488,55226,        ,1372560,-0.25,0.48,22.15,43.5,1.13,0.79,
1523, 1523 開億      ,677327,875075,-22.6,-37936,27028,26366,7820,-11570,27029,        ,1380332,-0.08,0.21,16.47,53.16,0.98,0.69,
1524, 1524 耿鼎      ,266753,282835,-5.69,9499,30408,6909,20018,14733,44803,-67.12,868739,0.17,0.62,15.98,56.5,0.96,0.55,
1525, 1525 江申      ,224400,203997,10,8038,14566,6541,             ,13579,16337,-16.88,410571,0.33,   <<<<<<   ,20.48,75.25,3.25,2.46,
1526, 1526 日馳      ,205225,269191,-23.76,6727,20216,-2181,             ,4617,19414,-76.22,606931,0.08,   <<<<<<   ,13.21,58.91,0.96,0.39, 
